#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2020 06 20 19 21     3.0 13.90 999.00 27.10  33.4  2.90   0.90    99 99.00 99.00
2020 06 21 01 22     3.0 12.90 999.00 27.80  31.3  2.80   1.00    99 99.00 99.00
2020 06 21 07 22     3.0 15.30 999.00 26.40  31.7  2.70   2.40    99 99.00 99.00
2020 06 21 19 21     3.0 12.80 999.00 27.70  33.5  3.00   1.80    99 99.00 99.00
2020 06 22 07 22     3.0 11.90 999.00 29.00  43.1  3.90   4.90    99 99.00 99.00
2020 06 22 13 22     3.0 12.10 999.00 28.70  29.2  2.60   4.30    99 99.00 99.00
2020 06 22 19 21     3.0 11.80 999.00 29.00  28.2  2.50   1.30    99 99.00 99.00
2020 06 23 01 22     3.0 12.40 999.00 28.40  34.1  3.00   2.50    99 99.00 99.00
2020 06 23 07 22     3.0 12.90 999.00 28.30  24.4  2.20   3.70    99 99.00 99.00
2020 06 23 13 22     3.0 14.00 999.00 27.40  36.1  3.10   3.50    99 99.00 99.00
2020 06 23 19 21     3.0 11.90 999.00 28.80  22.7  2.00   1.40    99 99.00 99.00
2020 06 24 01 18     3.0 12.90 999.00 27.90  29.2  2.60   1.60    99 99.00 99.00
2020 06 24 07 35     3.0 12.00 999.00 28.60  25.4  2.30   3.60    99 99.00 99.00
2020 06 24 13 22     3.0 11.50 999.00 29.10  23.8  2.20   2.50    99 99.00 99.00
2020 06 24 19 21     3.0 14.50 999.00 27.00  35.7  3.10   1.10    99 99.00 99.00
2020 06 25 01 22     3.0 12.50 999.00 28.40  32.2  2.90   2.30    99 99.00 99.00
2020 06 25 07 22     3.0 11.00 999.00 29.50  24.9  2.30   2.70    99 99.00 99.00
2020 06 25 13 22     3.0 12.10 999.00 28.80  31.5  2.80   2.80    99 99.00 99.00
2020 06 25 19 21     3.0 11.50 999.00 29.40  23.5  2.10   1.00    99 99.00 99.00
2020 06 26 01 22     3.0 12.20 999.00 28.80  34.9  3.10   1.90    99 99.00 99.00
2020 06 26 07 22     3.0 12.50 999.00 28.50  26.4  2.40   2.80    99 99.00 99.00
2020 06 27 01 22     3.0 13.00 999.00 28.30  37.2  3.30   2.60    99 99.00 99.00
2020 06 27 07 22     3.0 12.00 999.00 28.80  29.8  2.70   2.80    99 99.00 99.00
2020 06 27 13 22     3.0 11.60 999.00 29.30  33.0  3.00   2.40    99 99.00 99.00
2020 06 27 19 21     3.0 12.20 999.00 28.90  23.6  2.10   2.10    99 99.00 99.00
2020 06 28 01 22     3.0 18.70 999.00 25.50  41.3  3.30   2.50    99 99.00 99.00
2020 06 28 07 22     3.0 11.00 999.00 29.60  23.2  2.10   2.90    99 99.00 99.00
2020 06 28 13 22     3.0 12.00 999.00 29.00  23.4  2.10   2.60    99 99.00 99.00
2020 06 28 19 21     3.0 12.00 999.00 28.90  20.1  1.80   1.30    99 99.00 99.00
2020 06 29 01 22     3.0 12.60 999.00 28.60  25.6  2.30   1.70    99 99.00 99.00
2020 06 29 07 22     3.0 12.10 999.00 28.80  25.0  2.20   2.50    99 99.00 99.00
