Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-12T12:20:44-0700, -13 ft, 7.0316
2023-09-12T12:20:44-0700, -16 ft, 7.0303
2023-09-12T12:20:44-0700, -20 ft, 7.0226
2023-09-12T12:20:44-0700, -23 ft, 7.0116
2023-09-12T12:20:44-0700, -26 ft, 7.0031
2023-09-12T12:20:44-0700, -30 ft, 7
2023-09-13T12:19:55-0700, -33 ft, 7.0858
2023-09-13T12:19:55-0700, -36 ft, 7.0652
2023-09-13T12:19:55-0700, -39 ft, 7.0368
2023-09-13T12:19:55-0700, -43 ft, 7.0204
2023-09-13T12:19:55-0700, -46 ft, 7.0152
2023-09-13T12:19:55-0700, -49 ft, 7.0146
2023-09-13T12:19:55-0700, -52 ft, 7.0097
2023-09-13T12:19:55-0700, -56 ft, 7.0012
2023-09-13T12:19:55-0700, -59 ft, 6.9916
2023-09-13T12:19:55-0700, -62 ft, 6.9856
2023-09-13T12:19:55-0700, -3 ft, 7.1155
2023-09-13T12:19:55-0700, -7 ft, 7.1086
2023-09-13T12:19:55-0700, -10 ft, 7.1017
2023-09-13T12:19:55-0700, -13 ft, 7.0948
2023-09-13T12:19:55-0700, -16 ft, 7.0919
2023-09-13T12:19:55-0700, -20 ft, 7.0917
2023-09-13T12:19:55-0700, -23 ft, 7.0887
2023-09-13T12:19:55-0700, -26 ft, 7.088
2023-09-13T12:19:55-0700, -30 ft, 7.0893
2023-09-14T12:19:43-0700, -33 ft, 6.8933
2023-09-14T12:19:43-0700, -36 ft, 6.8919
2023-09-14T12:19:43-0700, -39 ft, 6.8944
2023-09-14T12:19:43-0700, -43 ft, 6.9041
2023-09-14T12:19:43-0700, -46 ft, 6.9161
2023-09-14T12:19:43-0700, -49 ft, 6.922
2023-09-14T12:19:43-0700, -52 ft, 6.9229
2023-09-14T12:19:43-0700, -56 ft, 6.9154
2023-09-14T12:19:43-0700, -59 ft, 6.8978
2023-09-14T12:19:43-0700, -62 ft, 6.8537
2023-09-14T12:19:43-0700, -3 ft, 6.9217
2023-09-14T12:19:43-0700, -7 ft, 6.923
2023-09-14T12:19:43-0700, -10 ft, 6.9243
2023-09-14T12:19:43-0700, -13 ft, 6.9255
2023-09-14T12:19:43-0700, -16 ft, 6.9239
2023-09-14T12:19:43-0700, -20 ft, 6.9192
2023-09-14T12:19:43-0700, -23 ft, 6.9175
2023-09-14T12:19:43-0700, -26 ft, 6.9121
2023-09-14T12:19:43-0700, -30 ft, 6.9022
2023-09-15T12:19:21-0700, -33 ft, 6.9128
2023-09-15T12:19:21-0700, -36 ft, 6.9124
2023-09-15T12:19:21-0700, -39 ft, 6.915
2023-09-15T12:19:21-0700, -43 ft, 6.9122
2023-09-15T12:19:21-0700, -46 ft, 6.9067
2023-09-15T12:19:21-0700, -49 ft, 6.9035
2023-09-15T12:19:21-0700, -52 ft, 6.901
2023-09-15T12:19:21-0700, -56 ft, 6.8987
2023-09-15T12:19:21-0700, -59 ft, 6.9012
2023-09-15T12:19:21-0700, -62 ft, 6.9017
2023-09-15T12:19:21-0700, -3 ft, 6.9482
2023-09-15T12:19:21-0700, -66 ft, 6.9012
2023-09-15T12:19:21-0700, -69 ft, 6.9051
2023-09-15T12:19:21-0700, -72 ft, 6.9111
2023-09-15T12:19:21-0700, -75 ft, 6.9243
2023-09-15T12:19:21-0700, -79 ft, 6.9307
2023-09-15T12:19:21-0700, -82 ft, 6.934
2023-09-15T12:19:21-0700, -85 ft, 6.9328
2023-09-15T12:19:21-0700, -89 ft, 6.9213
2023-09-15T12:19:21-0700, -92 ft, 6.9046
2023-09-15T12:19:21-0700, -7 ft, 6.9539
2023-09-15T12:19:21-0700, -10 ft, 6.9597
2023-09-15T12:19:21-0700, -13 ft, 6.9655
2023-09-15T12:19:21-0700, -16 ft, 6.9625
2023-09-15T12:19:21-0700, -20 ft, 6.9516
2023-09-15T12:19:21-0700, -23 ft, 6.939
2023-09-15T12:19:21-0700, -26 ft, 6.9259
2023-09-15T12:19:21-0700, -30 ft, 6.9186
2023-09-16T12:19:27-0700, -33 ft, 7.0088
2023-09-16T12:19:27-0700, -36 ft, 7.0111
2023-09-16T12:19:27-0700, -39 ft, 7.0098
2023-09-16T12:19:27-0700, -43 ft, 7.0026
2023-09-16T12:19:27-0700, -46 ft, 6.9996
2023-09-16T12:19:27-0700, -49 ft, 7.0007
2023-09-16T12:19:27-0700, -52 ft, 6.9968
2023-09-16T12:19:27-0700, -56 ft, 6.9897
2023-09-16T12:19:27-0700, -59 ft, 6.9857
2023-09-16T12:19:27-0700, -62 ft, 6.9804
2023-09-16T12:19:27-0700, -3 ft, 7.0433
2023-09-16T12:19:27-0700, -7 ft, 7.0409
2023-09-16T12:19:27-0700, -10 ft, 7.0384
2023-09-16T12:19:27-0700, -13 ft, 7.0359
2023-09-16T12:19:27-0700, -16 ft, 7.0281
2023-09-16T12:19:27-0700, -20 ft, 7.0163
2023-09-16T12:19:27-0700, -23 ft, 7.0109
2023-09-16T12:19:27-0700, -26 ft, 7.01
2023-09-16T12:19:27-0700, -30 ft, 7.007
2023-09-17T12:19:40-0700, -33 ft, 7.0359
2023-09-17T12:19:40-0700, -36 ft, 7.0323
2023-09-17T12:19:40-0700, -39 ft, 7.0293
2023-09-17T12:19:40-0700, -43 ft, 7.0235
2023-09-17T12:19:40-0700, -46 ft, 7.0233
2023-09-17T12:19:40-0700, -49 ft, 7.025
2023-09-17T12:19:40-0700, -52 ft, 7.024
2023-09-17T12:19:40-0700, -56 ft, 7.0165
2023-09-17T12:19:40-0700, -59 ft, 6.9996
2023-09-17T12:19:40-0700, -62 ft, 6.9699
2023-09-17T12:19:40-0700, -3 ft, 7.0477
2023-09-17T12:19:40-0700, -7 ft, 7.0475
2023-09-17T12:19:40-0700, -10 ft, 7.0474
2023-09-17T12:19:40-0700, -13 ft, 7.0472
2023-09-17T12:19:40-0700, -16 ft, 7.0451
2023-09-17T12:19:40-0700, -20 ft, 7.0407
2023-09-17T12:19:40-0700, -23 ft, 7.0424
2023-09-17T12:19:40-0700, -26 ft, 7.0443
2023-09-17T12:19:40-0700, -30 ft, 7.04
2023-09-18T12:19:48-0700, -33 ft, 6.7911
2023-09-18T12:19:48-0700, -36 ft, 6.7913
2023-09-18T12:19:48-0700, -39 ft, 6.7967
2023-09-18T12:19:48-0700, -43 ft, 6.8003
2023-09-18T12:19:48-0700, -46 ft, 6.8121
2023-09-18T12:19:48-0700, -49 ft, 6.8445
2023-09-18T12:19:48-0700, -52 ft, 6.8724
2023-09-18T12:19:48-0700, -56 ft, 6.8838
2023-09-18T12:19:48-0700, -59 ft, 6.8917
2023-09-18T12:19:48-0700, -62 ft, 6.8952
2023-09-18T12:19:48-0700, -3 ft, 6.8432
2023-09-18T12:19:48-0700, -7 ft, 6.8345
2023-09-18T12:19:48-0700, -10 ft, 6.8259
2023-09-18T12:19:48-0700, -13 ft, 6.8173
2023-09-18T12:19:48-0700, -16 ft, 6.804
2023-09-18T12:19:48-0700, -20 ft, 6.7893
2023-09-18T12:19:48-0700, -23 ft, 6.7862
2023-09-18T12:19:48-0700, -26 ft, 6.7923
2023-09-18T12:19:48-0700, -30 ft, 6.7948
2023-09-19T12:19:43-0700, -33 ft, 6.8081
2023-09-19T12:19:43-0700, -36 ft, 6.8073
2023-09-19T12:19:43-0700, -39 ft, 6.8026
2023-09-19T12:19:43-0700, -43 ft, 6.7967
2023-09-19T12:19:43-0700, -46 ft, 6.7982
2023-09-19T12:19:43-0700, -49 ft, 6.8004
2023-09-19T12:19:43-0700, -52 ft, 6.7996
2023-09-19T12:19:43-0700, -56 ft, 6.7993
2023-09-19T12:19:43-0700, -59 ft, 6.7977
2023-09-19T12:19:43-0700, -62 ft, 6.7922
2023-09-19T12:19:43-0700, -3 ft, 6.9282
2023-09-19T12:19:43-0700, -66 ft, 6.7892
2023-09-19T12:19:43-0700, -69 ft, 6.79
2023-09-19T12:19:43-0700, -72 ft, 6.7901
2023-09-19T12:19:43-0700, -75 ft, 6.7865
2023-09-19T12:19:43-0700, -79 ft, 6.7876
2023-09-19T12:19:43-0700, -82 ft, 6.7868
2023-09-19T12:19:43-0700, -85 ft, 6.7815
2023-09-19T12:19:43-0700, -89 ft, 6.7759
2023-09-19T12:19:43-0700, -92 ft, 6.7709
2023-09-19T12:19:43-0700, -7 ft, 6.9175
2023-09-19T12:19:43-0700, -10 ft, 6.9068
2023-09-19T12:19:43-0700, -13 ft, 6.8961
2023-09-19T12:19:43-0700, -16 ft, 6.8867
2023-09-19T12:19:43-0700, -20 ft, 6.8746
2023-09-19T12:19:43-0700, -23 ft, 6.8498
2023-09-19T12:19:43-0700, -26 ft, 6.8241
2023-09-19T12:19:43-0700, -30 ft, 6.8108
2023-09-20T12:20:10-0700, -33 ft, 6.8705
2023-09-20T12:20:10-0700, -36 ft, 6.8754
2023-09-20T12:20:10-0700, -39 ft, 6.8811
2023-09-20T12:20:10-0700, -43 ft, 6.8806
2023-09-20T12:20:10-0700, -46 ft, 6.8746
2023-09-20T12:20:10-0700, -49 ft, 6.8716
2023-09-20T12:20:10-0700, -52 ft, 6.8681
2023-09-20T12:20:10-0700, -56 ft, 6.8618
2023-09-20T12:20:10-0700, -59 ft, 6.8524
2023-09-20T12:20:10-0700, -62 ft, 6.8338
2023-09-20T12:20:10-0700, -3 ft, 6.7923
2023-09-20T12:20:10-0700, -7 ft, 6.7965
2023-09-20T12:20:10-0700, -10 ft, 6.8006
2023-09-20T12:20:10-0700, -13 ft, 6.8048
2023-09-20T12:20:10-0700, -16 ft, 6.8069
2023-09-20T12:20:10-0700, -20 ft, 6.8111
2023-09-20T12:20:10-0700, -23 ft, 6.826
2023-09-20T12:20:10-0700, -26 ft, 6.8479
2023-09-20T12:20:10-0700, -30 ft, 6.8635
2023-09-21T12:19:39-0700, -33 ft, 7.0525
2023-09-21T12:19:39-0700, -36 ft, 7.0426
2023-09-21T12:19:39-0700, -39 ft, 7.0343
2023-09-21T12:19:39-0700, -43 ft, 7.0237
2023-09-21T12:19:39-0700, -46 ft, 7.0039
2023-09-21T12:19:39-0700, -49 ft, 6.9793
2023-09-21T12:19:39-0700, -52 ft, 6.9617
2023-09-21T12:19:39-0700, -56 ft, 6.9501
2023-09-21T12:19:39-0700, -59 ft, 6.9348
2023-09-21T12:19:39-0700, -62 ft, 6.9152
2023-09-21T12:19:39-0700, -3 ft, 7.065
2023-09-21T12:19:39-0700, -7 ft, 7.0662
2023-09-21T12:19:39-0700, -10 ft, 7.0673
2023-09-21T12:19:39-0700, -13 ft, 7.0685
2023-09-21T12:19:39-0700, -16 ft, 7.0662
2023-09-21T12:19:39-0700, -20 ft, 7.0623
2023-09-21T12:19:39-0700, -23 ft, 7.056
2023-09-21T12:19:39-0700, -26 ft, 7.0524
2023-09-21T12:19:39-0700, -30 ft, 7.0546
2023-09-22T12:19:56-0700, -33 ft, 7.0264
2023-09-22T12:19:56-0700, -36 ft, 7.0256
2023-09-22T12:19:56-0700, -39 ft, 7.0277
2023-09-22T12:19:56-0700, -43 ft, 7.0235
2023-09-22T12:19:56-0700, -46 ft, 7.0214
2023-09-22T12:19:56-0700, -49 ft, 7.0184
2023-09-22T12:19:56-0700, -52 ft, 7.0108
2023-09-22T12:19:56-0700, -56 ft, 7.0108
2023-09-22T12:19:56-0700, -59 ft, 7.0093
2023-09-22T12:19:56-0700, -62 ft, 7.0031
2023-09-22T12:19:56-0700, -3 ft, 7.045
2023-09-22T12:19:56-0700, -7 ft, 7.046
2023-09-22T12:19:56-0700, -10 ft, 7.0469
2023-09-22T12:19:56-0700, -13 ft, 7.0478
2023-09-22T12:19:56-0700, -16 ft, 7.0505
2023-09-22T12:19:56-0700, -20 ft, 7.0504
2023-09-22T12:19:56-0700, -23 ft, 7.0427
2023-09-22T12:19:56-0700, -26 ft, 7.0358
2023-09-22T12:19:56-0700, -30 ft, 7.03
2023-09-23T12:20:49-0700, -33 ft, 7.0014
2023-09-23T12:20:49-0700, -36 ft, 7.0034
