Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-08T00:20:51-0700, -26 ft, 4.3676
2023-09-08T00:20:51-0700, -30 ft, 4.2827
2023-09-08T12:20:09-0700, -33 ft, 4.2035
2023-09-08T12:20:09-0700, -36 ft, 4.0608
2023-09-08T12:20:09-0700, -39 ft, 3.8525
2023-09-08T12:20:09-0700, -43 ft, 3.6971
2023-09-08T12:20:09-0700, -46 ft, 3.6066
2023-09-08T12:20:09-0700, -49 ft, 3.5578
2023-09-08T12:20:09-0700, -52 ft, 3.5292
2023-09-08T12:20:09-0700, -56 ft, 3.499
2023-09-08T12:20:09-0700, -59 ft, 3.4389
2023-09-08T12:20:09-0700, -62 ft, 3.3682
2023-09-08T12:20:09-0700, -3 ft, 4.3884
2023-09-08T12:20:09-0700, -66 ft, 3.2769
2023-09-08T12:20:09-0700, -7 ft, 4.412
2023-09-08T12:20:09-0700, -10 ft, 4.4357
2023-09-08T12:20:09-0700, -13 ft, 4.4328
2023-09-08T12:20:09-0700, -16 ft, 4.393
2023-09-08T12:20:09-0700, -20 ft, 4.3456
2023-09-08T12:20:09-0700, -23 ft, 4.299
2023-09-08T12:20:09-0700, -26 ft, 4.256
2023-09-08T12:20:09-0700, -30 ft, 4.2339
2023-09-09T00:20:59-0700, -33 ft, 4.2222
2023-09-09T00:20:59-0700, -36 ft, 4.1469
2023-09-09T00:20:59-0700, -39 ft, 4.0219
2023-09-09T00:20:59-0700, -43 ft, 3.8697
2023-09-09T00:20:59-0700, -46 ft, 3.7598
2023-09-09T00:20:59-0700, -49 ft, 3.6995
2023-09-09T00:20:59-0700, -52 ft, 3.6481
2023-09-09T00:20:59-0700, -56 ft, 3.5933
2023-09-09T00:20:59-0700, -59 ft, 3.5511
2023-09-09T00:20:59-0700, -62 ft, 3.5112
2023-09-09T00:20:59-0700, -3 ft, 4.6489
2023-09-09T00:20:59-0700, -66 ft, 3.4261
2023-09-09T00:20:59-0700, -7 ft, 4.621
2023-09-09T00:20:59-0700, -10 ft, 4.5931
2023-09-09T00:20:59-0700, -13 ft, 4.5653
2023-09-09T00:20:59-0700, -16 ft, 4.5142
2023-09-09T00:20:59-0700, -20 ft, 4.4549
2023-09-09T00:20:59-0700, -23 ft, 4.4019
2023-09-09T00:20:59-0700, -26 ft, 4.3381
2023-09-09T00:20:59-0700, -30 ft, 4.2772
2023-09-09T12:20:09-0700, -33 ft, 4.3895
2023-09-09T12:20:09-0700, -36 ft, 4.2951
2023-09-09T12:20:09-0700, -39 ft, 4.197
2023-09-09T12:20:09-0700, -43 ft, 4.1136
2023-09-09T12:20:09-0700, -46 ft, 4.0546
2023-09-09T12:20:09-0700, -49 ft, 3.9985
2023-09-09T12:20:09-0700, -52 ft, 3.9082
2023-09-09T12:20:09-0700, -56 ft, 3.7806
2023-09-09T12:20:09-0700, -59 ft, 3.6703
2023-09-09T12:20:09-0700, -62 ft, 3.5889
2023-09-09T12:20:09-0700, -3 ft, 4.7925
2023-09-09T12:20:09-0700, -66 ft, 3.5238
2023-09-09T12:20:09-0700, -69 ft, 3.4796
2023-09-09T12:20:09-0700, -72 ft, 3.4458
