Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-06T12:16:56-0700, -30 ft, 9.8518
2023-09-07T12:16:57-0700, -33 ft, 7.8346
2023-09-07T12:16:57-0700, -36 ft, 7.3083
2023-09-07T12:16:57-0700, -39 ft, 6.999
2023-09-07T12:16:57-0700, -43 ft, 6.8846
2023-09-07T12:16:57-0700, -46 ft, 6.8089
2023-09-07T12:16:57-0700, -49 ft, 6.7157
2023-09-07T12:16:57-0700, -52 ft, 6.5164
2023-09-07T12:16:57-0700, -56 ft, 6.3073
2023-09-07T12:16:57-0700, -59 ft, 6.1232
2023-09-07T12:16:57-0700, -62 ft, 5.9312
2023-09-07T12:16:57-0700, -3 ft, 8.1603
2023-09-07T12:16:57-0700, -66 ft, 5.6918
2023-09-07T12:16:57-0700, -69 ft, 5.4131
2023-09-07T12:16:57-0700, -72 ft, 5.2438
2023-09-07T12:16:57-0700, -75 ft, 5.1384
2023-09-07T12:16:57-0700, -79 ft, 5.0854
2023-09-07T12:16:57-0700, -82 ft, 5.0696
2023-09-07T12:16:57-0700, -85 ft, 5.0275
2023-09-07T12:16:57-0700, -89 ft, 4.9053
2023-09-07T12:16:57-0700, -92 ft, 4.8039
2023-09-07T12:16:57-0700, -7 ft, 8.1615
2023-09-07T12:16:57-0700, -10 ft, 8.162
2023-09-07T12:16:57-0700, -13 ft, 8.1724
2023-09-07T12:16:57-0700, -16 ft, 8.7818
2023-09-07T12:16:57-0700, -20 ft, 9.5118
2023-09-07T12:16:57-0700, -23 ft, 9.808
2023-09-07T12:16:57-0700, -26 ft, 9.2751
2023-09-07T12:16:57-0700, -30 ft, 8.3642
2023-09-08T12:16:59-0700, -33 ft, 10.3272
2023-09-08T12:16:59-0700, -36 ft, 10.3137
2023-09-08T12:16:59-0700, -39 ft, 10.0062
2023-09-08T12:16:59-0700, -43 ft, 9.616
2023-09-08T12:16:59-0700, -46 ft, 8.6536
2023-09-08T12:16:59-0700, -49 ft, 8.0229
2023-09-08T12:16:59-0700, -52 ft, 7.7644
2023-09-08T12:16:59-0700, -56 ft, 7.8241
2023-09-08T12:16:59-0700, -59 ft, 7.6447
2023-09-08T12:16:59-0700, -62 ft, 7.2965
2023-09-08T12:16:59-0700, -3 ft, 7.9377
2023-09-08T12:16:59-0700, -66 ft, 6.9324
2023-09-08T12:16:59-0700, -69 ft, 6.59
2023-09-08T12:16:59-0700, -72 ft, 6.2861
2023-09-08T12:16:59-0700, -75 ft, 5.9936
2023-09-08T12:16:59-0700, -79 ft, 5.7194
2023-09-08T12:16:59-0700, -82 ft, 5.4536
2023-09-08T12:16:59-0700, -85 ft, 5.2325
2023-09-08T12:16:59-0700, -89 ft, 5.0892
2023-09-08T12:16:59-0700, -92 ft, 4.9134
2023-09-08T12:16:59-0700, -7 ft, 7.9411
2023-09-08T12:16:59-0700, -10 ft, 7.9443
2023-09-08T12:16:59-0700, -13 ft, 7.9402
2023-09-08T12:16:59-0700, -16 ft, 7.9864
2023-09-08T12:16:59-0700, -20 ft, 8.454
2023-09-08T12:16:59-0700, -23 ft, 9.1342
2023-09-08T12:16:59-0700, -26 ft, 9.5976
2023-09-08T12:16:59-0700, -30 ft, 10.0269
2023-09-09T12:16:46-0700, -33 ft, 9.945
2023-09-09T12:16:46-0700, -36 ft, 9.2002
2023-09-09T12:16:46-0700, -39 ft, 8.4611
2023-09-09T12:16:46-0700, -43 ft, 7.9516
2023-09-09T12:16:46-0700, -46 ft, 7.4718
2023-09-09T12:16:46-0700, -49 ft, 7.2068
2023-09-09T12:16:46-0700, -52 ft, 7.0955
2023-09-09T12:16:46-0700, -56 ft, 7.2485
2023-09-09T12:16:46-0700, -59 ft, 7.2276
2023-09-09T12:16:46-0700, -62 ft, 7.0888
2023-09-09T12:16:46-0700, -3 ft, 8.0569
2023-09-09T12:16:46-0700, -66 ft, 6.8233
2023-09-09T12:16:46-0700, -69 ft, 6.5313
2023-09-09T12:16:46-0700, -72 ft, 6.3268
2023-09-09T12:16:46-0700, -75 ft, 6.1502
2023-09-09T12:16:46-0700, -79 ft, 5.9669
2023-09-09T12:16:46-0700, -82 ft, 5.8005
2023-09-09T12:16:46-0700, -85 ft, 5.5964
2023-09-09T12:16:46-0700, -89 ft, 5.3579
2023-09-09T12:16:46-0700, -92 ft, 5.1764
2023-09-09T12:16:46-0700, -7 ft, 8.271
2023-09-09T12:16:46-0700, -10 ft, 8.4851
2023-09-09T12:16:46-0700, -13 ft, 8.7249
2023-09-09T12:16:46-0700, -16 ft, 9.3252
2023-09-09T12:16:46-0700, -20 ft, 9.9208
2023-09-09T12:16:46-0700, -23 ft, 10.2207
2023-09-09T12:16:46-0700, -26 ft, 10.2627
2023-09-09T12:16:46-0700, -30 ft, 10.2718
2023-09-10T12:16:48-0700, -33 ft, 10.2775
2023-09-10T12:16:48-0700, -36 ft, 10.0335
2023-09-10T12:16:48-0700, -39 ft, 9.9037
2023-09-10T12:16:48-0700, -43 ft, 9.3623
2023-09-10T12:16:48-0700, -46 ft, 8.5364
2023-09-10T12:16:48-0700, -49 ft, 8.0245
2023-09-10T12:16:48-0700, -52 ft, 7.306
2023-09-10T12:16:48-0700, -56 ft, 6.8802
2023-09-10T12:16:48-0700, -59 ft, 6.8492
2023-09-10T12:16:48-0700, -62 ft, 6.8789
2023-09-10T12:16:48-0700, -3 ft, 8.702
2023-09-10T12:16:48-0700, -66 ft, 6.6195
2023-09-10T12:16:48-0700, -69 ft, 6.3749
2023-09-10T12:16:48-0700, -72 ft, 6.1799
2023-09-10T12:16:48-0700, -75 ft, 5.9692
2023-09-10T12:16:48-0700, -79 ft, 5.7691
2023-09-10T12:16:48-0700, -82 ft, 5.5518
2023-09-10T12:16:48-0700, -85 ft, 5.3758
2023-09-10T12:16:48-0700, -89 ft, 5.2087
2023-09-10T12:16:48-0700, -92 ft, 5.0181
2023-09-10T12:16:48-0700, -7 ft, 8.6969
2023-09-10T12:16:48-0700, -10 ft, 8.7134
2023-09-10T12:16:48-0700, -13 ft, 9.3602
2023-09-10T12:16:48-0700, -16 ft, 9.9899
2023-09-10T12:16:48-0700, -20 ft, 10.2922
2023-09-10T12:16:48-0700, -23 ft, 10.3887
2023-09-10T12:16:48-0700, -26 ft, 10.308
2023-09-10T12:16:48-0700, -30 ft, 10.3604
2023-09-11T12:17:09-0700, -33 ft, 9.914
2023-09-11T12:17:09-0700, -36 ft, 9.061
2023-09-11T12:17:09-0700, -39 ft, 8.409
2023-09-11T12:17:09-0700, -43 ft, 7.6194
2023-09-11T12:17:09-0700, -46 ft, 7.0938
2023-09-11T12:17:09-0700, -49 ft, 6.9046
2023-09-11T12:17:09-0700, -52 ft, 6.8953
2023-09-11T12:17:09-0700, -56 ft, 6.6837
2023-09-11T12:17:09-0700, -59 ft, 6.4927
2023-09-11T12:17:09-0700, -62 ft, 6.3697
2023-09-11T12:17:09-0700, -3 ft, 10.1381
2023-09-11T12:17:09-0700, -66 ft, 6.2362
2023-09-11T12:17:09-0700, -69 ft, 6.0753
2023-09-11T12:17:09-0700, -72 ft, 5.8723
2023-09-11T12:17:09-0700, -75 ft, 5.671
2023-09-11T12:17:09-0700, -79 ft, 5.4821
2023-09-11T12:17:09-0700, -82 ft, 5.3734
2023-09-11T12:17:09-0700, -85 ft, 5.2883
2023-09-11T12:17:09-0700, -89 ft, 5.1027
2023-09-11T12:17:09-0700, -92 ft, 4.9229
2023-09-11T12:17:09-0700, -7 ft, 10.0896
2023-09-11T12:17:09-0700, -10 ft, 10.0469
2023-09-11T12:17:09-0700, -13 ft, 10.1497
2023-09-11T12:17:09-0700, -16 ft, 10.2713
2023-09-11T12:17:09-0700, -20 ft, 10.3658
2023-09-11T12:17:09-0700, -23 ft, 10.2778
2023-09-11T12:17:09-0700, -26 ft, 10.2463
2023-09-11T12:17:09-0700, -30 ft, 10.3351
2023-09-12T12:17:11-0700, -33 ft, 10.2217
2023-09-12T12:17:11-0700, -36 ft, 10.3882
2023-09-12T12:17:11-0700, -39 ft, 10.3845
2023-09-12T12:17:11-0700, -43 ft, 10.1525
2023-09-12T12:17:11-0700, -46 ft, 9.4596
2023-09-12T12:17:11-0700, -49 ft, 8.3242
2023-09-12T12:17:11-0700, -52 ft, 7.613
2023-09-12T12:17:11-0700, -56 ft, 7.2167
2023-09-12T12:17:11-0700, -59 ft, 7.1164
2023-09-12T12:17:11-0700, -62 ft, 7.3001
2023-09-12T12:17:11-0700, -3 ft, 8.7604
2023-09-12T12:17:11-0700, -66 ft, 7.2779
2023-09-12T12:17:11-0700, -69 ft, 6.9414
2023-09-12T12:17:11-0700, -72 ft, 6.583
2023-09-12T12:17:11-0700, -75 ft, 6.3131
2023-09-12T12:17:11-0700, -79 ft, 6.0871
2023-09-12T12:17:11-0700, -82 ft, 5.8189
2023-09-12T12:17:11-0700, -85 ft, 5.5996
